;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰⺡&GT-04385;
M-17851 	&I-M-17851;	⿰⺡炭
M-17852 	&I-M-17852;	⿰⺡禺
M-17853 	&I-M-17853;	⿰⺡畐
M-17854 	&I-M-17854;	⿰⺡⿱民日
M-17855 	&M-17855;	
M-17856 	&M-17856;	⿰⺡突
M-17857 	&M-17857;	
M-17858 	&M-17858;	
M-17859 	&M-17859;	
M-17860 	&I-M-17860;	⿰⺡星
M-17861 	&I-M-17861;	⿰⺡冒
M-17862 	&I-M-17862;	
M-17863 	&I-M-17863;	⿰⺡狊
M-17864 	&I-M-17864;	⿰⺡重
M-17865 	&M-17865;	⿰⺡臿
M-17866 	&M-17866;	⿰⺡&GT-12518;
M-17867 	&I-M-17867;	⿰⺡秋
M-17868 	&M-17868;	⿱秋水
M-17869 	&M-17869;	
M-17870 	&M-17870;	
M-17871 	&I-M-17871;	⿰⺡㕟
M-17872 	&M-17872;	
M-17873 	&I-M-17873;	
M-17874 	&I-M-17874;	⿰⺡昜
M-17875 	&I-M-17875;	⿰⺡&CDP-8DAF;
M-17876 	&M-17876;	
M-17877 	&I-M-17877;	
M-17878 	&I-M-17878;	⿰⺡南
M-17879 	&I-M-17879;	
M-17880 	&I-M-17880;	⿰⺡拏
M-17881 	&I-M-17881;	⿰水砅
M-17882 	&I-M-17882;	⿰⺡致
M-17883 	&I-M-17883;	⿰⺡⿳木一木
M-17884 	&I-M-17884;	⿰⺡羑
M-17885 	&M-17885;	
M-17886 	&I-M-17886;	⿰⺡⿱厽&GT-39640;
M-17887 	&I-M-17887;	⿰⺡⿸戶示
M-17888 	&I-M-17888;	⿱井泉
M-17889 	&I-M-17889;	⿰⺡⿱夭&RUI6-E00E;
M-17890 	&M-17890;	
M-17891 	&M-17891;	
M-17892 	&I-M-17892;	⿰⺡泉
M-17893 	&I-M-17893;	
M-17894 	&I-M-17894;	⿰⺡&GT-14816;
M-17895 	&I-M-17895;	⿲⺡虫也
M-17896 	&M-17896;	
M-17897 	&I-M-17897;	⿰⺡盼
M-17898 	&M-17898;	
M-17899 	&I-M-17899;	⿰⺡&GT-17504;
M-17900 	&M-17900;	
M-17901 	&I-M-17901;	⿲⺡⿱巛歹刂
M-17902 	&I-M-17902;	⿲⺡幺列
M-17903 	&I-M-17903;	
M-17904 	&I-M-17904;	⿰⺡⿱土米
M-17905 	&M-17905;	
M-17906 	&M-17906;	⿰⺡亮
M-17907 	&I-M-17907;	⿰⺡⿱向廾
M-17908 	&I-M-17908;	⿰⺡厘
M-17909 	&I-M-17909;	⿰⺡保
M-17910 	&M-17910;	
M-17911 	&I-M-17911;	⿰⺡⿱水皿
M-17912 	&M-17912;	
M-17913 	&I-M-17913;	⿰⺡亯󠄀
M-17914 	&I-M-17914;	⿰⺡垔
M-17915 	&M-17915;	
M-17916 	&I-M-17916;	⿰⺡⿳⿰弓弓一八
M-17917 	&I-M-17917;	⿰⺡&CDP-8DB4;
M-17918 	&I-M-17918;	⿰⺡甾
M-17919 	&I-M-17919;	⿰⺡⿱太皿
M-17919'	滋	⿰⺡兹
M-17920 	&I-M-17920;	⿰⺡弯
M-17920'	湿	⿰⺡显
M-17921 	&M-17921;	
M-17921'	満	
M-17922 	&I-M-17922;	⿰⺡晉
M-17923 	&I-M-17923;	⿰⺡桂
M-17924 	&M-17924;	⿰⺡&M-41646;
M-17925 	&I-M-17925;	⿰⺡&M-03709;
M-17926 	&I-M-17926;	⿰⺡原
M-17927 	&M-17927;	
M-17928 	&I-M-17928;	⿰⺡袁
M-17929 	&I-M-17929;	
M-17930 	&I-M-17930;	⿰⺡羔
M-17931 	&M-17931;	
M-17932 	&M-17932;	⿰⺡&AJ1-14350;
M-17933 	&M-17933;	⿰⺡冢󠄀
M-17934 	&I-M-17934;	⿱&GT-22468;十
M-17935 	&I-M-17935;	⿰⺡乘
M-17936 	&I-M-17936;	⿰⺡盍
M-17937 	&I-M-17937;	⿰⺡泰
M-17938 	&I-M-17938;	⿰⺡貢
M-17939 	&M-17939;	⿰⺡&GT-08989;
M-17940 	&I-M-17940;	⿰⺡冤
M-17941 	&I-M-17941;	
M-17942 	&M-17942;	⿰⺡窊
M-17943 	&I-M-17943;	⿰⺡留
M-17944 	&I-M-17944;	
M-17945 	&I-M-17945;	⿰⺡蚤
M-17946 	&I-M-17946;	⿰⺡耆
M-17947 	&I-M-17947;	⿰⺡冥󠄀
M-17948 	&I-M-17948;	⿰⺡差
M-17949 	&I-M-17949;	⿰⺡時
M-17950 	&I-M-17950;	⿰⺡圅
M-17951 	&I-M-17951;	
M-17952 	&I-M-17952;	⿰⺡⿱刕止
M-17953 	&I-M-17953;	⿰⺡息
M-17954 	&I-M-17954;	⿰⺡挐
M-17955 	&I-M-17955;	⿰⺡倫
M-17956 	&I-M-17956;	⿰⺡馬
M-17957 	&I-M-17957;	⿰⺡尃
M-17958 	&M-17958;	
M-17959 	&I-M-17959;	
M-17960 	&I-M-17960;	⿰⺡栗
M-17961 	&M-17961;	
M-17962 	&I-M-17962;	⿰⺡栽
M-17963 	&I-M-17963;	⿰⺡邕
M-17964 	&I-M-17964;	⿰⺡烏
M-17965 	&I-M-17965;	⿰⺡臬
M-17966 	&I-M-17966;	⿰⺡郡
M-17967 	&I-M-17967;	
M-17968 	&I-M-17968;	⿰⺡𥁕
M-17969 	&M-17969;	
M-17970 	&I-M-17970;	⿰⺡⿷羌厶
M-17971 	&I-M-17971;	⿰⺡畟
M-17972 	&I-M-17972;	⿰⺡師
M-17973 	&M-17973;	
M-17974 	&I-M-17974;	⿰⺡射
M-17975 	&I-M-17975;	⿰⺡朔
M-17976 	&I-M-17976;	⿰⺡豈
M-17977 	&M-17977;	
M-17978 	&I-M-17978;	⿰⺡&GT-32227;
M-17979 	&I-M-17979;	⿰⺡叟
M-17980 	&I-M-17980;	⿰⺡員
M-17981 	&I-M-17981;	⿰⺡臭
M-17982 	&I-M-17982;	⿰⺡殷
M-17983 	&I-M-17983;	⿰⺡容
M-17984 	&I-M-17984;	⿰⺡脅
M-17985 	&M-17985;	
M-17986 	&I-M-17986;	⿰⺡圂
M-17987 	&I-M-17987;	⿰⺡&GT-35174;
M-17988 	&M-17988;	
M-17989 	&I-M-17989;	⿰⺡索
M-17990 	&I-M-17990;	
M-17991 	&I-M-17991;	
M-17992 	&I-M-17992;	⿰⺡⿱⿱一⿰幺幺土
M-17993 	&M-17993;	
M-17994 	&I-M-17994;	⿰⺡脂
M-17995 	&M-17995;	
M-17996 	&I-M-17996;	⿰⺡辱
M-17997 	&I-M-17997;	⿰⺡鬼
M-17998 	&I-M-17998;	
M-17999 	&I-M-17999;	⿰⺡畜
M-18000 	&M-18000;	⿰⿱&CDP-8D44;水&GT-21300;
M-18001 	&I-M-18001;	⿰⺡能
M-18002 	&I-M-18002;	⿰⺡除
M-18003 	&I-M-18003;	⿰⺡&GT-17242;
M-18004 	&I-M-18004;	
M-18005 	&M-18005;	
M-18006 	&M-18006;	
M-18007 	&I-M-18007;	
M-18008 	&I-M-18008;	⿰⺡&CDP-8CFB;
M-18009 	&M-18009;	
M-18010 	&I-M-18010;	
M-18011 	&M-18011;	⿰⺡虒
M-18012 	&M-18012;	⿰⺡⿱囟比
M-18013 	&M-18013;	
M-18014 	&M-18014;	
M-18015 	&I-M-18015;	
M-18016 	&M-18016;	⿰⺡⿱旬兮󠄀
M-18017 	&I-M-18017;	⿰⺡晃
M-18018 	&M-18018;	
M-18019 	&I-M-18019;	⿰⺡氣
M-18020 	&M-18020;	
M-18021 	&I-M-18021;	
M-18022 	&M-18022;	⿰⺡欱
M-18023 	&I-M-18023;	⿰⺡⿱必皿
M-18024 	&M-18024;	
M-18025 	&I-M-18025;	⿰⺡蚩
M-18026 	&I-M-18026;	⿱&CDP-8BE3;水
M-18027 	&I-M-18027;	⿰⺡釜
M-18028 	&I-M-18028;	⿰⺡耽
M-18029 	&M-18029;	⿰⺡桀
M-18030 	&M-18030;	
M-18031 	&M-18031;	⿰⺡閃
M-18032 	&I-M-18032;	
M-18033 	&M-18033;	⿰⺡哥
M-18034 	&I-M-18034;	⿰⺡宰
M-18035 	&I-M-18035;	
M-18036 	&I-M-18036;	
M-18037 	&M-18037;	
M-18038 	&I-M-18038;	⿰⺡眚
M-18039 	&I-M-18039;	⿰⺡⿱山耴
M-18040 	&I-M-18040;	
M-18041 	&I-M-18041;	⿰⺡⿱甫巾
M-18042 	&M-18042;	
M-18043 	&M-18043;	
M-18044 	&I-M-18044;	⿰⺡⿳口巛水
M-18045 	&I-M-18045;	⿰⺡衰
M-18046 	&I-M-18046;	⿱白泉
M-18047 	&I-M-18047;	⿰洱冄
M-18048 	&I-M-18048;	⿰⺡⿱⺮毛
M-18049 	&M-18049;	
M-18050 	&M-18050;	
M-18051 	&M-18051;	
M-18052 	&I-M-18052;	⿰⺡⿴囗⿱止夕
M-18053 	&I-M-18053;	⿰⺡⿵戌月
M-18054 	&I-M-18054;	⿰⺡⿰米&GT-21300;
M-18055 	&I-M-18055;	⿰⺡⿱⺮尹
M-18056 	&M-18056;	
M-18057 	&M-18057;	
M-18058 	&M-18058;	
M-18059 	&M-18059;	⿰⺡⿳⺳工口
M-18060 	&M-18060;	⿰⺡唇
M-18061 	&I-M-18061;	⿰⺡羕
M-18062 	&I-M-18062;	
M-18063 	&M-18063;	⿰⺡衮
M-18064 	&I-M-18064;	⿰⺡⿱厽&CDP-89C6;
M-18065 	&M-18065;	
M-18066 	&I-M-18066;	⿰⺡皋
M-18067 	&I-M-18067;	⿰⺡竜
M-18067'	&GT-23018;	
M-18068 	&I-M-18068;	
M-18068'	&GT-22918;	
M-18069 	&I-M-18069;	
M-18070 	&I-M-18070;	⿰⺡⿰&CDP-8B7A;⿱攴木
M-18071 	&I-M-18071;	⿰⺡脩
M-18072 	&I-M-18072;	
M-18073 	&I-M-18073;	
M-18074 	&I-M-18074;	
M-18075 	&I-M-18075;	⿰⺡帶
M-18076 	&M-18076;	
M-18077 	&M-18077;	⿰⺡竟
M-18078 	&I-M-18078;	
M-18079 	&M-18079;	
M-18080 	&M-18080;	
M-18081 	&I-M-18081;	⿰⺡參
M-18082 	&M-18082;	
M-18083 	&M-18083;	⿰⺡商
M-18084 	&I-M-18084;	
M-18085 	&I-M-18085;	
M-18086 	&M-18086;	
M-18087 	&M-18087;	⿰⺡敖
M-18088 	&I-M-18088;	⿰⺡鹵
M-18089 	&I-M-18089;	⿰⺡許
M-18090 	&M-18090;	
M-18091 	&M-18091;	
M-18092 	&I-M-18092;	⿰⺡虖
M-18093 	&I-M-18093;	⿰⺡悠
M-18094 	&M-18094;	
M-18095 	&I-M-18095;	⿰⺡産
M-18096 	&I-M-18096;	⿰⺡梵
M-18097 	&I-M-18097;	
M-18098 	&I-M-18098;	
M-18099 	&I-M-18099;	⿰⺡㒼󠄀
M-18100 	&M-18100;	⿱&CDP-8BE0;水
M-18101 	&I-M-18101;	⿰⺡魚
M-18102 	&I-M-18102;	⿰⺡&M-24694;
M-18103 	&M-18103;	
M-18104 	&I-M-18104;	
M-18105 	&I-M-18105;	⿰⺡崖
M-18106 	&M-18106;	
M-18107 	&I-M-18107;	⿰⺡巢
M-18108 	&I-M-18108;	⿰⺡桼
M-18109 	&M-18109;	
M-18110 	&I-M-18110;	⿰⺡徙
M-18111 	&M-18111;	⿰⺡祭
M-18112 	&I-M-18112;	⿰⺡鹿
M-18113 	&I-M-18113;	⿰⺡婁
M-18114 	&I-M-18114;	
M-18115 	&I-M-18115;	⿰⺡堇
M-18116 	&I-M-18116;	⿰⺡國
M-18117 	&I-M-18117;	⿰⺡頂
M-18118 	&I-M-18118;	⿰⺡移
M-18119 	&I-M-18119;	⿰⺡從
M-18120 	&I-M-18120;	⿰⺡&CDP-8DA4;
M-18121 	&M-18121;	
M-18122 	&I-M-18122;	⿱執水
M-18123 	&M-18123;	⿰⺡旣
M-18124 	&I-M-18124;	⿰⺡强
M-18125 	&M-18125;	
M-18126 	&M-18126;	
M-18127 	&I-M-18127;	⿰⺡&M-24888;
M-18128 	&M-18128;	
M-18129 	&M-18129;	
M-18130 	&I-M-18130;	⿰⺡&GT-09033;
M-18131 	&I-M-18131;	⿰⺡曹
M-18132 	&I-M-18132;	⿰⺡教
M-18133 	&M-18133;	
M-18134 	&M-18134;	⿰⺡&CDP-8BDD;
M-18135 	&I-M-18135;	⿰⺡脣
M-18136 	&I-M-18136;	⿰⺡專
M-18137 	&I-M-18137;	⿰⺡畤
M-18138 	&M-18138;	
M-18139 	&I-M-18139;	⿰⺡區
M-18140 	&I-M-18140;	
M-18141 	&M-18141;	
M-18142 	&I-M-18142;	⿰⺡⿵戊臣
M-18143 	&M-18143;	
M-18144 	&I-M-18144;	⿰⺡埜
M-18145 	&I-M-18145;	⿰⺡斜
M-18146 	&M-18146;	
M-18147 	&I-M-18147;	⿰⺡覓
M-18148 	&I-M-18148;	⿰⺡堂
M-18149 	&M-18149;	⿰⺡&M-31078;
M-18150 	&M-18150;	
M-18151 	&I-M-18151;	⿰⺡&CDP-8CBE;
M-18152 	&M-18152;	
M-18153 	&I-M-18153;	⿰⺡&CDP-8BD3;
M-18154 	&M-18154;	
M-18155 	&I-M-18155;	
M-18156 	&I-M-18156;	⿰⺡婪
M-18157 	&M-18157;	
M-18158 	&I-M-18158;	
M-18159 	&M-18159;	
M-18160 	&I-M-18160;	⿸𠩺水
M-18161 	&I-M-18161;	⿰⺡乾
M-18162 	&M-18162;	
M-18163 	&I-M-18163;	⿰⺡旋
M-18164 	&I-M-18164;	⿰⺡猗
M-18165 	&M-18165;	
M-18166 	&I-M-18166;	⿰⺡曼
M-18167 	&I-M-18167;	⿰⺡責
M-18168 	&M-18168;	⿰⺡康
M-18169 	&I-M-18169;	
M-18170 	&I-M-18170;	⿰⺡崩
M-18171 	&I-M-18171;	⿰⺡欶
M-18172 	&I-M-18172;	⿰⺡敕
M-18173 	&I-M-18173;	⿰⺡張
M-18174 	&I-M-18174;	
M-18175 	&M-18175;	⿰⺡崇
M-18176 	&I-M-18176;	⿰⺡敘
M-18177 	&I-M-18177;	⿰⺡患
M-18178 	&I-M-18178;	⿰⺡郭
M-18179 	&I-M-18179;	⿰⺡斬
M-18180 	&I-M-18180;	⿰⺡焉
M-18181 	&I-M-18181;	⿰⺡爽
M-18182 	&I-M-18182;	
M-18183 	&I-M-18183;	
M-18184 	&I-M-18184;	⿰⺡羕
M-18185 	&I-M-18185;	⿱將水
M-18186 	&M-18186;	
M-18187 	&I-M-18187;	
M-18188 	&I-M-18188;	⿰⿱匕水頁
M-18189 	&M-18189;	
M-18190 	&I-M-18190;	⿰⺡⿱𦥑日
M-18191 	&I-M-18191;	⿰⺡酓
M-18192 	&I-M-18192;	⿰⺡捻
M-18193 	&I-M-18193;	⿰⺡⿱尾水
M-18194 	&I-M-18194;	⿰汨告
M-18195 	&I-M-18195;	
M-18196 	&I-M-18196;	⿰⺡赦
M-18197 	&M-18197;	
M-18198 	&I-M-18198;	⿰⺡⿱山並
M-18199 	&I-M-18199;	⿰⺡⿱癶米
M-18200 	&I-M-18200;	⿰⺡⿱刕皿
M-18201 	&I-M-18201;	⿰泉⿱山山
M-18202 	&I-M-18202;	⿲⺡彳⿱攵月
M-18203 	&M-18203;	
M-18204 	&I-M-18204;	⿰⺡晝
M-18205 	&I-M-18205;	⿰⺡⿱&CDP-8C48;回
M-18206 	&I-M-18206;	⿰⺡⿱雨于
M-18207 	&M-18207;	
M-18208 	&M-18208;	
M-18209 	&M-18209;	
M-18210 	&M-18210;	
M-18211 	&M-18211;	
M-18212 	&M-18212;	
M-18213 	&M-18213;	
M-18214 	&I-M-18214;	
M-18215 	&M-18215;	
M-18216 	&I-M-18216;	⿰⺡⿱𠂉⿸&CDP-88F1;&CDP-8965;
M-18217 	&I-M-18217;	⿰⺡隆
M-18218 	&M-18218;	
M-18219 	&M-18219;	
M-18220 	&M-18220;	
M-18221 	&I-M-18221;	
M-18222 	&M-18222;	
